"position","colorId","time"
"75607","4","1736884186665"
"697800","12","1732397169136"
"75285","2","1736884179547"
"698000","11","1732397179121"
"697794","11","1732397175948"
"698205","11","1732397173551"
"698010","11","1732397170903"
"75608","4","1736884185492"
"75606","4","1736884181363"
"75609","4","1736884187855"
"697998","11","1732397176641"
"268194","1","1736884174246"
"75610","4","1736884189181"
"697797","11","1732397174358"
"697804","11","1732397172189"
"75289","4","1736884192838"
"75611","4","1736884191508"
"697586","11","1732397175224"
